Column,Solvent_A,Solvent_B,compPerc_Min,compPerc_Max,temp_Min,temp_Max,Compound,lnkw_intercept,lnkw_slope,S_intercept,S_slope
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,N-benzylformamide,4.11763685,-0.008591087,5.724601541,-0.004518391
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,benzylalcohol,4.295870152,-0.008385048,5.115167829,-0.003542989
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,phenol,7.250245914,-0.016236441,8.08076412,-0.011393741
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,3-phenylpropanol,6.97931989,-0.011916769,8.913709247,-0.00977469
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,p-chlorophenol,10.85376712,-0.022819863,12.93304204,-0.02112975
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,benzonitrile,9.157574281,-0.018693495,9.933437736,-0.014607944
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,nitrobenzene,10.70905282,-0.021722029,11.91355275,-0.019092652
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,methylbenzoate,9.736348393,-0.01780428,10.51106107,-0.013937724
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,anisole,10.61945329,-0.020272691,11.52448752,-0.01739407
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,benzene,10.44880733,-0.019639539,10.98273196,-0.016380708
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,p-nitrotoluene,12.64017703,-0.024650001,14.11051919,-0.022713324
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,p-nitrobenzylchloride,14.60682,-0.029833907,17.07158392,-0.029903671
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,toluene,12.62091835,-0.023122296,13.47792307,-0.020736303
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,benzophenone,14.0721551,-0.02548828,15.87549629,-0.023860401
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,bromobenzene,13.8638574,-0.02595716,15.08728568,-0.024450099
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,naphthalene,15.6391947,-0.029463036,17.39259053,-0.029003465
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,ethylbenzene,15.02072892,-0.02735205,16.45404068,-0.026482538
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,p-xylene,14.62975195,-0.026096353,15.43623039,-0.023540985
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,p-dichlorobenzene,15.56155354,-0.028722422,16.84632829,-0.027388727
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,propylbenzene,16.94893948,-0.029923293,18.03635683,-0.027912591
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,n-butylbenzene,18.16161684,-0.030503468,18.38213053,-0.025855676
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,diethylformamide,4.023580287,-0.005937485,11.46793263,-0.012307207
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,methylparaben,11.41113694,-0.022818852,22.52681112,-0.036664952
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,ethylparaben,11.18981017,-0.021632122,17.03596058,-0.026971426
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,propylparaben,11.05969711,-0.020133642,14.18587768,-0.020027039
Agilent SB-C18,Water,Acetonitrile,0,100,10,150,butylparaben,12.13413031,-0.021102928,14.02639126,-0.018467386
