Index,Analyte,Abbreviation,CAS #,Dataset ID,Mechanism,Manufacturer,Brand,Stationary Phase,Pore Size (A),Particle Size (um),A Solvent,B Solvent,Composition (%B),Temperature (C),Midpoint Pressure (bar),Retention Factor,SD,n
38,nortriptyline,Nort,894-71-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,0.838,0.010,5
39,nortriptyline,Nort,894-71-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,1.738,0.009,5
40,nortriptyline,Nort,894-71-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,2.925,0.017,5
41,nortriptyline,Nort,894-71-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,5.733,0.028,5
42,nortriptyline,Nort,894-71-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,13.439,0.094,5
43,nortriptyline,Nort,894-71-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,37.843,0.104,5
44,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.233,0.006,5
45,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,0.362,0.003,5
46,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,0.734,0.005,5
47,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,1.211,0.004,5
48,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,2.336,0.021,5
49,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,5.389,0.010,5
50,amitriptyline,Amit,549-18-8,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,14.605,0.048,5
51,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,1.250,0.006,5
52,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,1.828,0.014,5
53,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,2.759,0.016,5
54,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,4.409,0.010,5
55,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,7.311,0.046,5
56,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,10,40,60,12.089,0.039,5
57,p-nitrophenol,NtPh,100-02-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,5,40,60,18.477,0.056,5
58,"5,5-diphenylhydantoin",DPHyt,57-41-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,1.107,0.014,5
59,"5,5-diphenylhydantoin",DPHyt,57-41-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,1.780,0.009,5
60,"5,5-diphenylhydantoin",DPHyt,57-41-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,3.168,0.011,5
61,"5,5-diphenylhydantoin",DPHyt,57-41-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,6.288,0.021,5
62,"5,5-diphenylhydantoin",DPHyt,57-41-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,14.290,0.120,5
63,"5,5-diphenylhydantoin",DPHyt,57-41-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,36.952,0.100,5
64,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.224,0.008,5
65,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,0.355,0.003,5
66,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,0.627,0.004,5
67,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,0.863,0.005,5
68,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,1.246,0.006,5
69,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,1.868,0.003,5
70,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,2.977,0.011,5
71,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,5.071,0.017,5
72,acetophenone,AP2,98-86-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,10,40,60,8.994,0.034,5
73,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.625,0.029,5
74,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,1.021,0.011,5
75,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,1.844,0.010,5
76,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,2.558,0.009,5
77,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,3.677,0.018,5
78,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,5.397,0.014,5
79,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,8.204,0.031,5
80,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,12.865,0.058,5
81,benzonitrile,BzCN,100-47-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,10,40,60,19.966,0.098,5
82,5-phenylpentanol,Ph5ol,10521-91-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.374,0.005,5
83,5-phenylpentanol,Ph5ol,10521-91-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,0.703,0.005,5
84,5-phenylpentanol,Ph5ol,10521-91-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,1.558,0.006,5
85,5-phenylpentanol,Ph5ol,10521-91-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,2.537,0.011,5
86,5-phenylpentanol,Ph5ol,10521-91-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,4.516,0.033,5
87,5-phenylpentanol,Ph5ol,10521-91-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,8.683,0.031,5
88,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.379,0.005,5
89,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,0.657,0.002,5
90,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,1.245,0.004,5
91,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,1.796,0.008,5
92,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,2.682,0.015,5
93,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,4.110,0.022,5
94,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,20,40,60,6.508,0.023,5
95,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,15,40,60,10.505,0.013,5
96,anisole,Ans,100-66-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,10,40,60,16.645,0.019,5
97,4-n-butylbenzoic acid,4BA4,20651-71-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.538,0.006,5
98,4-n-butylbenzoic acid,4BA4,20651-71-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,1.103,0.002,5
99,4-n-butylbenzoic acid,4BA4,20651-71-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,2.881,0.013,5
100,4-n-butylbenzoic acid,4BA4,20651-71-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,5.210,0.032,5
101,4-n-butylbenzoic acid,4BA4,20651-71-2,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,10.434,0.041,5
102,toluene,1Bz,108-88-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,0.665,0.007,5
103,toluene,1Bz,108-88-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,1.237,0.007,5
104,toluene,1Bz,108-88-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,2.581,0.011,5
105,toluene,1Bz,108-88-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,3.901,0.014,5
106,toluene,1Bz,108-88-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,6.159,0.017,5
107,toluene,1Bz,108-88-3,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,25,40,60,9.868,0.015,5
108,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,70,40,60,1.064,0.015,5
109,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,1.994,0.009,5
110,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,4.385,0.014,5
111,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,45,40,60,6.927,0.025,5
112,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,11.659,0.072,5
113,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,21.068,0.078,5
114,cis-chalcone,cCha,614-46-0,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,41.181,0.069,5
115,ethylbenzene,2Bz,100-41-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,2.948,0.024,5
116,ethylbenzene,2Bz,100-41-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,5.858,0.022,5
117,ethylbenzene,2Bz,100-41-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,13.595,0.055,5
118,ethylbenzene,2Bz,100-41-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,22.011,0.051,5
119,ethylbenzene,2Bz,100-41-4,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,30,40,60,37.362,0.042,5
120,trans-chalcone,tCha,94-41-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,70,40,60,1.208,0.023,5
121,trans-chalcone,tCha,94-41-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,60,40,60,2.394,0.012,5
122,trans-chalcone,tCha,94-41-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,50,40,60,5.461,0.020,5
123,trans-chalcone,tCha,94-41-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,45,40,60,8.858,0.049,5
124,trans-chalcone,tCha,94-41-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,40,40,60,15.406,0.070,5
125,trans-chalcone,tCha,94-41-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,35,40,60,28.721,0.070,5
126,mefenamic acid,MFen,61-68-7,2021_01,RP,Agilent,Zorbax,Eclipse PAH,95,1.8,"Buffer, pH 3.2",ACN,70,40,60,1.037,0.018,5
